iter	Passed	Remaining
862	1686768	267772
863	1688034	265709
864	1689382	263660
865	1690497	261578
866	1691812	259528
867	1692949	257453
868	1694254	255405
869	1695491	253349
870	1696620	251279
871	1697876	249229
872	1699084	247174
873	1700299	245123
874	1701488	243069
875	1702624	241010
876	1703729	238949
877	1704909	236900
878	1706038	234847
879	1707158	232794
880	1708273	230742
881	1709540	228714
882	1710640	226664
883	1711811	224626
884	1712961	222588
885	1714186	220561
886	1715391	218533
887	1716518	216497
888	1717694	214470
889	1718915	212450
890	1720113	210429
891	1721228	208399
892	1722430	206383
893	1723547	204358
894	1724703	202339
895	1725836	200320
896	1727022	198309
897	1728140	196292
898	1729505	194304
899	1730692	192299
900	1731805	190287
901	1732893	188274
902	1734006	186266
903	1735176	184266
904	1736315	182265
905	1737497	180270
906	1738705	178279
907	1739874	176286
908	1741037	174295
909	1742204	172305
910	1743359	170317
911	1744597	168338
912	1745891	166366
913	1747249	164402
914	1748452	162424
915	1749673	160450
916	1750996	158487
917	1752144	156509
918	1753322	154536
919	1754543	152569
920	1755733	150600
921	1756854	148627
922	1758168	146672
923	1759477	144718
924	1760697	142759
925	1761912	140800
926	1763016	138835
927	1764106	136870
928	1765323	134917
929	1766499	132962
930	1767678	131009
931	1768867	129059
932	1770081	127111
933	1771228	125161
934	1772371	123213
935	1773562	121269
936	1774722	119324
937	1775881	117382
938	1777103	115445
939	1778303	113508
940	1779461	111570
941	1780627	109635
942	1781792	107701
943	1782958	105768
944	1784134	103838
945	1785345	101911
946	1786572	99987
947	1787716	98060
948	1788881	96135
949	1790048	94213
950	1791137	92287
951	1792198	90362
952	1793314	88442
953	1794420	86523
954	1795578	84608
955	1796653	82691
956	1797865	80781
957	1799076	78873
958	1800198	76963
959	1801338	75055
960	1802545	73152
961	1803638	71245
962	1804888	69346
963	1806114	67448
964	1807292	65549
965	1808541	63654
966	1809731	61759
967	1810971	59866
968	1812175	57974
969	1813419	56085
970	1814570	54194
971	1815804	52307
972	1816964	50419
973	1818267	48536
974	1819412	46651
975	1820594	44768
976	1821748	42886
977	1822906	41006
978	1824077	39127
979	1825268	37250
980	1826511	35375
981	1827692	33501
982	1828919	31629
983	1830080	29757
984	1831245	27886
985	1832417	26018
986	1833585	24150
987	1834796	22284
988	1836065	20421
989	1837193	18557
990	1838469	16696
991	1839568	14835
992	1840727	12975
993	1841933	11118
994	1843089	9261
995	1844372	7407
996	1845604	5553
997	1846879	3701
998	1848044	1849
999	1849248	0
